event_date,event_label,amount_naira_bn,category,source_row
2019-01,Kogi cooks' accounts – withdrawals without consent,0.04,Documented fraud,S8
2019-04,850 cooks' accounts – unauthorised transfers,0.028,Documented fraud,S8
2019-11,Kogi State arrest (Programme Manager),0.068,Documented fraud,S8
2020-06,COVID vendor-payment investigation (Premium Times),2.67,Allegation under investigation,S9
2024-01,Federal programme suspended (Presidential Panel),0,Suspension event,S5
2025-12,NSIPA funds recovered / seized,30,Recovery action,S33
