year,value_naira_bn,category,label,source_note
2016,26.4,N-Power verified,"₦26.4bn (May share)","TheCable 2019/2021 — N-Power-specific"
2017,,Not disclosed,"No public N-Power figure",""
2018,,Not disclosed,"No public N-Power figure",""
2019,,Not disclosed,"No public N-Power figure",""
2020,376.6,Ministry envelope,"FMHDMSD ₦376.6bn (N-Power share undisclosed)","BudgIT 2020"
2021,465.1,Ministry envelope,"FMHDMSD ₦465.1bn (+23.5%)","BudgIT 2021"
2022,514.7,Ministry envelope,"FMHDMSD ₦514.7bn (+10.7%)","BudgIT 2022"
2023,382.4,Ministry envelope,"FMHDMSD ₦382.4bn (-25.7%); NASSP Scale-Up ₦206.24bn = 65.48%","BudgIT 2023; FMBNP 2016"
2024,,Not disclosed,"Suspended Jan 2024","Suspended"
